,userId,movieId,tag,timestamp
51,87,109487,good science,1522676693
52,87,109487,Hans Zimmer,1522676679
53,87,109487,philosophical issues,1522676687
54,87,109487,sci-fi,1522676660
55,87,109487,science fiction,1522676703
56,87,109487,space,1522676664
57,87,109487,space travel,1522676685
58,87,109487,time-travel,1522676667
59,87,109487,visually appealing,1522676682
472,91,109487,interesting ideea,1415904647
473,91,109487,original,1415904653
474,91,109487,philosophical issues,1415904686
475,91,109487,sentimental,1415904671
476,91,109487,space,1415904616
477,91,109487,spectacle,1415904677
478,91,109487,thought-provoking,1415904620
479,91,109487,time-travel,1415904606
480,91,109487,wormhole,1415904635
651,195,109487,Christopher Nolan,1545129659
1103,324,109487,Visual effect,1434348336
1840,647,85510,Cinematography,1347813535
1841,647,85510,insanity,1347813531
1842,647,85510,mindfuck,1347813529
1843,647,85510,reality or imagination?,1347813527
1844,647,85510,stylized,1347813539
1845,647,85510,Surreal,1347813541
1877,647,99007,comedic horror,1361057710
1878,647,99007,cured by love/hope,1361057689
1879,647,99007,unconventional,1361057707
1880,647,99007,unconventional zombies,1361057700
1881,647,99007,zombies,1361057693
2389,800,109487,artificial intelligence,1519433596
2390,800,109487,Masterpiece,1519433605
2391,800,109487,sci-fi,1519433587
2392,800,109487,time-travel,1519433594
2830,871,55820,atmospheric,1520344563
2831,871,55820,brutal,1520344575
2832,871,55820,dark,1520344552
2833,871,55820,great acting,1520344550
2834,871,55820,plot twist,1520344582
2835,871,55820,slow paced,1520344571
2836,871,55820,suspense,1520344554
2837,871,55820,tension,1520344558
2838,871,55820,thriller,1520344555
2839,871,55820,twist ending,1520344577
2840,871,55820,violent,1520344560
3036,871,90057,ambiguous,1529194658
3037,871,90057,apocalyptic,1529194656
3038,871,90057,depressing,1529194663
3039,871,90057,dreams,1529194661
3040,871,90057,end of the world,1529194699
3041,871,90057,mental illness,1529194651
3042,871,90057,nightmares,1529194693
3043,871,90057,psychology,1529194654
3044,871,90057,sanity,1529194690
3045,871,90057,surprising,1529194665
3046,871,90057,surreal,1529194680
3047,871,90057,twist ending,1529194678
3048,871,90057,visions,1529194673
3634,975,71535,Emma Stone,1459758123
3673,997,183619,Crime,1529752691
3674,997,183619,Heist,1529752689
3675,997,183619,Plot twist,1529752698
3676,997,183619,street shootout,1529752694
3677,997,183619,twist ending,1529752700
4207,1255,78088,frustrating to watch,1407160586
4208,1255,78088,wasted potential,1407160581
4728,1543,78039,depressing,1571796501
4729,1543,78039,great performances,1571796509
4730,1543,78039,painful,1571796511
4731,1543,78039,true to life,1571796494
4732,1543,78039,unlikeable characters,1571796504
4733,1543,91808,lesbian,1571796871
5342,1694,192283,romantic comedy,1561411036
5660,1812,109487,space,1559455342
5661,1812,109487,thought-provoking,1559455329
6030,1883,72011,airplane,1449455360
6031,1883,72011,Anna Kendrick,1449455342
6032,1883,72011,business,1449455356
6033,1883,72011,cynicism,1449455324
6034,1883,72011,George Clooney,1449455319
6035,1883,72011,Jason Bateman,1449455326
6036,1883,72011,loneliness,1449455321
6037,1883,72011,Nudity (Rear),1449455336
6038,1883,72011,self discovery,1449455347
6039,1883,72011,thoughtful,1449455333
6040,1883,72011,travel,1449455350
6041,1883,72011,United States,1449455345
6042,1883,72011,witty,1449455331
6206,1883,109487,ambitious,1449452848
6207,1883,109487,Anne Hathaway,1449452923
6208,1883,109487,artificial intelligence,1449452852
6209,1883,109487,atmosphere,1449452883
6210,1883,109487,beautiful,1449452942
6211,1883,109487,cliché finale,1449452944
6212,1883,109487,corny,1449452894
6213,1883,109487,emotional,1449452964
6214,1883,109487,end of the world,1449452915
6215,1883,109487,epic,1449452858
6216,1883,109487,exploration,1449452917
6217,1883,109487,good science,1449452868
6218,1883,109487,interesting ideea,1449452932
6219,1883,109487,Jessica Chastain,1449452950
6220,1883,109487,love,1449452886
6221,1883,109487,Masterpiece,1449452846
6222,1883,109487,Matthew McConaughey,1449452843
6223,1883,109487,Murphy's Law,1449452946
6224,1883,109487,philosophical issues,1449452837
6225,1883,109487,relativity,1449452901
6226,1883,109487,sci-fi,1449452958
6227,1883,109487,science fiction,1449452928
6228,1883,109487,Self-Indulgent,1449452910
6229,1883,109487,sentimental,1449452926
6230,1883,109487,space,1449452841
6231,1883,109487,space exploration,1449452892
6232,1883,109487,space travel,1449452935
6233,1883,109487,spectacle,1449452877
6234,1883,109487,suspense,1449452952
6235,1883,109487,thought-provoking,1449452865
6236,1883,109487,time paradox,1449452913
6237,1883,109487,time travel,1449452834
6238,1883,109487,time-travel,1449452854
6239,1883,109487,twist ending,1449452897
6240,1883,109487,visually appealing,1449452860
6241,1883,109487,wasted potential,1449452881
6570,2066,55820,1980s,1455731423
6571,2066,55820,atmospheric,1455731403
6572,2066,55820,cinematography,1455731433
6573,2066,55820,dark,1455731392
6574,2066,55820,realistic,1455731413
6575,2066,55820,serial killer,1455731418
6576,2066,55820,slow paced,1455731397
7062,2375,74154,HOT actress,1328030355
7253,2403,90249,ending,1328000708
7254,2403,90249,predictable,1328000685
7311,2403,109487,artificial intelligence,1430419537
7312,2403,109487,Christopher Nolan,1430419523
7313,2403,109487,interesting ideea,1430419553
7314,2403,109487,sentimental,1430419534
7315,2403,109487,sounds,1430419562
7316,2403,109487,space,1430419526
7317,2403,109487,thought-provoking,1430419548
7318,2403,109487,time-travel,1430419529
7472,2403,183619,action,1536431691
7473,2403,183619,bank robbery,1536431772
7474,2403,183619,car chase,1536431737
7475,2403,183619,Crime,1536431673
7476,2403,183619,Heist,1536431671
7477,2403,183619,hostages,1536431763
7478,2403,183619,street shootout,1536431795
7479,2403,183619,tension,1536431789
7480,2403,183619,twist,1536431786
7481,2403,183619,twist ending,1536431676
7724,2449,111443,feel good movie,1480368663
7725,2449,111443,food,1480368667
8433,2730,111443,cooking,1450767390
8434,2730,111443,entrepreneurs,1450767387
8435,2730,111443,father-son relationship,1450767399
8436,2730,111443,feel good movie,1450767380
8437,2730,111443,food,1450767377
8438,2730,111443,predictable,1450767362
9106,3063,55820,thriller,1487176741
9151,3063,109487,bad ending,1487177206
9152,3063,109487,bad science,1487177199
9632,3150,71535,Emma Stone,1257307816
9633,3150,71535,zombies,1257307824
9654,3150,74154,Danny DeVito,1278602943
9655,3150,74154,Josh Duhamel,1278602946
9664,3150,75813,Edward Norton,1270410320
9702,3150,80831,based on a book,1530488356
9723,3150,85510,soundtrack,1308320871
9732,3150,90057,twist ending,1531892163
9733,3150,90249,robots,1471736782
9734,3150,90249,Science Fiction,1471736793
10309,3164,78039,Graphic sex,1296769260
10310,3164,78039,marriage,1296769225
10311,3164,78039,Michelle Williams,1296769230
10312,3164,78039,Ryan Gosling,1296769228
10313,3164,78039,slow moving plot,1296769232
10314,3164,78039,small town,1296769272
10315,3164,78039,true to life,1296769244
11262,3225,66097,based on a book,1258151110
11263,3225,66097,dark,1258151123
11264,3225,66097,Surreal,1258151117
11314,3225,71535,dark comedy,1273469634
11315,3225,71535,gore,1273397137
11316,3225,71535,post-apocalyptic,1273397101
11317,3225,71535,road trip,1273397154
11318,3225,71535,stylized violence,1273397189
11319,3225,71535,zombies,1273397092
12855,3394,80831,1980s,1519608870
12856,3394,80831,atmospheric,1519608867
12857,3394,80831,bittersweet,1519608898
12858,3394,80831,bullying,1519608860
12859,3394,80831,coming of age,1519608872
12860,3394,80831,dark,1519608850
12861,3394,80831,first love,1525388318
12862,3394,80831,remake,1519608853
12863,3394,80831,vampires,1519608864
13186,3394,136227,brothers,1525242350
13187,3394,136227,Horror,1525240246
13188,3394,136227,Supernatural Horror,1525240236
13472,3394,174031,Body Horror,1525240146
13473,3394,174031,horror,1525240127
13474,3394,174031,Horror Comedy,1525240143
13475,3394,174031,mad scientist,1525240129
13476,3394,174031,Surgery,1525240160
15988,3448,55820,atmospheric,1521823326
15989,3448,55820,brutal,1521823337
15990,3448,55820,Coen Brothers,1521823311
15991,3448,55820,crime,1521823332
15992,3448,55820,dark,1521823313
15993,3448,55820,great acting,1521823309
15994,3448,55820,hitman,1521823336
15995,3448,55820,Javier Bardem,1521823328
15996,3448,55820,serial killer,1521823329
15997,3448,55820,slow paced,1521823335
15998,3448,55820,suspense,1521823314
15999,3448,55820,tension,1521823317
16000,3448,55820,thriller,1521823315
16001,3448,55820,Tommy Lee Jones,1521823320
16002,3448,55820,twist ending,1521823339
16003,3448,55820,violent,1521823325
16274,3448,71535,clever,1476036032
16275,3448,71535,comedy,1476036021
16276,3448,71535,dark comedy,1476036014
16277,3448,71535,dark humor,1477228149
16278,3448,71535,Emma Stone,1476036018
16279,3448,71535,funny,1476036016
16280,3448,71535,gore,1476036020
16281,3448,71535,Jesse Eisenberg,1476036027
16282,3448,71535,parody,1476036023
16283,3448,71535,post-apocalyptic,1476036011
16284,3448,71535,stylized violence,1476036039
16285,3448,71535,witty,1476036024
16286,3448,71535,Woody Harrelson,1476036017
16287,3448,71535,zombies,1476036008
17206,3448,109487,ambitious,1475419354
17207,3448,109487,Anne Hathaway,1475419275
17208,3448,109487,artificial intelligence,1475419259
17209,3448,109487,astronomy,1475419371
17210,3448,109487,atmosphere,1475419390
17211,3448,109487,bad dialogue,1475419338
17212,3448,109487,bad science,1477227550
17213,3448,109487,beautiful,1477227560
17214,3448,109487,black hole,1475419277
17215,3448,109487,Christopher Nolan,1477227544
17216,3448,109487,corny,1475419360
17217,3448,109487,Deus Ex Machina Ending,1477227558
17218,3448,109487,dystopia,1477227565
17219,3448,109487,epic,1475419350
17220,3448,109487,exploration,1477227567
17221,3448,109487,far too long,1477227570
